step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
1095.0,78,4463.0,54.426829268292686,0.6142903989548218,78,11317.0,0.0,78,11317.0,False,,
1100.0,78,4853.0,59.18292682926829,0.6277053069687757,78,11707.0,0.0,78,11707.0,False,,
1105.0,78,5243.0,60.264367816091955,1.3751975823909233,78,12097.0,0.07142857142857142,78,12097.0,False,,
1110.0,78,5633.0,65.5,0.883249463957707,78,12487.0,0.06524419426163151,78,12487.0,False,,
1115.0,82,6033.0,70.15116279069767,0.5967558897483538,82,12887.0,0.03321923268057272,82,12887.0,False,,
1120.0,82,6443.0,74.9186046511628,0.5978892581529249,82,13297.0,0.0,82,13297.0,False,,
1125.0,82,6853.0,80.62352941176471,0.42019471432204286,82,13707.0,0.0,82,13707.0,False,,
1130.0,82,7263.0,78.94565217391305,1.3134377230207206,82,14117.0,0.07842359273106742,82,14117.0,False,,
1135.0,80,7467.0,82.96666666666667,0.6690158340793796,80,13783.0,0.04694793822194032,80,13783.0,False,,
1140.0,74,6877.0,76.41111111111111,1.0817947318749823,74,13437.0,0.04699731218580126,74,13437.0,False,,
1145.0,66,6273.0,69.7,1.8667395409242613,66,11789.0,0.03411424749201801,66,11789.0,False,,
1150.0,58,5827.0,65.47191011235955,2.108563673595663,58,12091.0,0.05805959464692979,58,12091.0,False,,
1155.0,56,5353.0,59.477777777777774,2.573078809681368,56,12355.0,0.14278191021636752,56,12355.0,False,,
1160.0,65,5650.0,62.77777777777778,1.7123366042223707,65,12652.0,0.08204565528121785,65,12652.0,False,,
1165.0,70,5964.0,65.53846153846153,0.6246265807360942,70,12356.0,0.03331842311617985,70,12356.0,False,,
1170.0,72,6194.0,67.32608695652173,0.7707229967750355,72,12082.0,0.0248037649757157,72,12082.0,False,,
1175.0,68,6446.0,68.57446808510639,1.6932161886537933,68,10744.0,0.03444888831926104,68,10744.0,False,,
1180.0,62,6681.0,66.81,2.503997133708965,62,11045.0,0.1101454251539766,62,11045.0,False,,
1185.0,62,6906.0,73.46808510638297,1.922116361493629,62,11326.0,0.08774176069668699,62,11326.0,False,,
1190.0,70,7240.0,77.02127659574468,1.757886497544383,70,11660.0,0.044810303327443256,70,11660.0,False,,
1195.0,74,7580.0,81.50537634408602,1.06367462084747,74,11566.0,0.022800395519380373,74,11566.0,False,,
1200.0,70,7820.0,84.08602150537635,1.0037085240966064,70,11242.0,0.026252618774725404,70,11242.0,False,,
1205.0,69,8080.0,79.2156862745098,2.118540032803281,69,10682.0,0.07641771201710497,69,10682.0,False,,
1210.0,70,8345.0,83.45,2.00785210874465,70,11036.0,0.08351016373701182,70,11036.0,False,,
1215.0,69,8635.0,91.86170212765957,1.3730575664305553,69,11384.0,0.05503822463977668,69,11384.0,False,,
1220.0,75,8999.0,95.73404255319149,1.0225650497435248,75,11748.0,0.036799543098824355,75,11748.0,False,,
1225.0,78,9353.0,89.9326923076923,1.5365228107642466,78,11878.0,0.07685711300840592,78,11878.0,False,,
1230.0,77,9597.0,92.27884615384616,1.248757048720527,77,11877.0,0.05803241114391077,77,11877.0,False,,
1235.0,77,9890.0,93.30188679245283,2.028400631948523,77,11827.0,0.06148610104161286,77,11827.0,False,,
1240.0,77,10213.0,98.20192307692308,2.3488279529243603,77,12061.0,0.05345779712662754,77,12061.0,False,,
1245.0,68,10490.0,107.04081632653062,2.74803156974098,68,12312.0,0.08752909124085273,68,12312.0,False,,
1250.0,67,10807.0,105.95098039215686,3.212066199773534,67,12596.0,0.1660771953539903,67,12596.0,False,,
1255.0,72,11130.0,110.1980198019802,2.4215995798732615,72,12919.0,0.1162560479331384,72,12919.0,False,,
1260.0,79,11512.0,111.76699029126213,1.830284376782226,79,13301.0,0.07730039317135252,79,13301.0,False,,
